Name,DOB
"Jinchao Henson",1976-07-24
"Daniel Woo",1976-03-12
"Jason Huang",1976-09-30
"Min Tuyet",1976-12-03
"Brian Stumpf",1976-09-01
"Adam Lee",1976-01-09
"Lin Zhou",1976-11-30
"Aaron Newman",1976-03-14
"Wen White",1976-04-11
"Lee Andrews",1976-05-13
"Wee Tuyet",1976-06-01
"Scot Lee",1976-02-14
"Dennis Fletcher",1976-10-11
"Eric Loader",1976-05-18
"Jim Slater",1976-12-25
"Neil Foster",1976-08-03
"Jan Austin",1976-03-10
"Chris Cairns",1976-10-17
"Juan Rodriguez",1976-05-24
"John Freeman",1976-12-31
"Greg Blewett",1976-07-07
"Kepler Wessels",1976-02-14
